client_code,product,benefit_est_KZT,reason_code,explain
1,fx_offer,42986.41,FX_ACTIVITY,FX/переводы: 8 597 281 ₸ → потенциальная экономия на комиссиях ≈ 42 986 ₸
1,credit_offer,26269.14,LARGE_PAYMENTS,"Оборот: 2 626 914 ₸, средний чек: 8 756 ₸ → ожидаемая выгода от кредитного продукта ≈ 26 269 ₸"
1,travel_card,20000.0,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 642 041 ₸. Оценимый кешбэк ≈ 20 000 ₸
1,supermarket_card,19358.01,HIGH_SUPERMARKET,Траты на продукты: 645 267 ₸ → выгода ≈ 19 358 ₸
1,restaurants_card,10375.15,HIGH_RESTAURANTS,Траты в ресторанах: 518 758 ₸ → выгода ≈ 10 375 ₸
1,taxi_card,6975.6,HIGH_TAXI,По такси: 232 520 ₸ → выгода ≈ 6 976 ₸
1,deposit,926.43,DEPOSIT_OPPORTUNITY,"Если положить 92 643 ₸ на депозит (12% годовых), месячная выручка ≈ 926 ₸"
1,premium_card,0.0,NO_SIGNAL,Средний баланс: 92 643 ₸ → оценка выгоды ≈ 0 ₸
1,investment_offer,0.0,LOW_BALANCE,Слишком мал баланс для инвестиционных продуктов
1,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
2,fx_offer,41411.62,FX_ACTIVITY,FX/переводы: 8 282 324 ₸ → потенциальная экономия на комиссиях ≈ 41 412 ₸
2,credit_offer,26232.72,LARGE_PAYMENTS,"Оборот: 2 623 272 ₸, средний чек: 8 744 ₸ → ожидаемая выгода от кредитного продукта ≈ 26 233 ₸"
2,supermarket_card,25788.81,HIGH_SUPERMARKET,Траты на продукты: 859 627 ₸ → выгода ≈ 25 789 ₸
2,travel_card,17515.76,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 437 894 ₸. Оценимый кешбэк ≈ 17 516 ₸
2,deposit,15770.73,DEPOSIT_OPPORTUNITY,"Если положить 1 577 073 ₸ на депозит (12% годовых), месячная выручка ≈ 15 771 ₸"
2,restaurants_card,10287.4,HIGH_RESTAURANTS,Траты в ресторанах: 514 370 ₸ → выгода ≈ 10 287 ₸
2,taxi_card,6447.58,HIGH_TAXI,По такси: 214 919 ₸ → выгода ≈ 6 448 ₸
2,investment_offer,3942.68,INVEST_OPPORTUNITY,Средний баланс: 1 577 073 ₸ → месячная оценочная доходность инвестиций ≈ 3 943 ₸
2,premium_card,3577.07,HIGH_BALANCE,Средний баланс: 1 577 073 ₸ → оценка выгоды ≈ 3 577 ₸
2,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
3,fx_offer,21088.53,FX_ACTIVITY,FX/переводы: 4 217 706 ₸ → потенциальная экономия на комиссиях ≈ 21 089 ₸
3,credit_offer,16372.65,LARGE_PAYMENTS,"Оборот: 1 637 265 ₸, средний чек: 5 458 ₸ → ожидаемая выгода от кредитного продукта ≈ 16 373 ₸"
3,supermarket_card,13589.72,HIGH_SUPERMARKET,Траты на продукты: 452 991 ₸ → выгода ≈ 13 590 ₸
3,travel_card,7997.37,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 199 934 ₸. Оценимый кешбэк ≈ 7 997 ₸
3,restaurants_card,6239.6,HIGH_RESTAURANTS,Траты в ресторанах: 311 980 ₸ → выгода ≈ 6 240 ₸
3,taxi_card,5969.97,HIGH_TAXI,По такси: 198 999 ₸ → выгода ≈ 5 970 ₸
3,deposit,631.16,DEPOSIT_OPPORTUNITY,"Если положить 63 116 ₸ на депозит (12% годовых), месячная выручка ≈ 631 ₸"
3,premium_card,0.0,NO_SIGNAL,Средний баланс: 63 116 ₸ → оценка выгоды ≈ 0 ₸
3,investment_offer,0.0,LOW_BALANCE,Слишком мал баланс для инвестиционных продуктов
3,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
4,fx_offer,39453.09,FX_ACTIVITY,FX/переводы: 7 890 618 ₸ → потенциальная экономия на комиссиях ≈ 39 453 ₸
4,credit_offer,25409.93,LARGE_PAYMENTS,"Оборот: 2 540 993 ₸, средний чек: 8 470 ₸ → ожидаемая выгода от кредитного продукта ≈ 25 410 ₸"
4,travel_card,20000.0,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 614 125 ₸. Оценимый кешбэк ≈ 20 000 ₸
4,supermarket_card,19380.21,HIGH_SUPERMARKET,Траты на продукты: 646 007 ₸ → выгода ≈ 19 380 ₸
4,restaurants_card,10457.91,HIGH_RESTAURANTS,Траты в ресторанах: 522 895 ₸ → выгода ≈ 10 458 ₸
4,taxi_card,7423.29,HIGH_TAXI,По такси: 247 443 ₸ → выгода ≈ 7 423 ₸
4,deposit,833.51,DEPOSIT_OPPORTUNITY,"Если положить 83 351 ₸ на депозит (12% годовых), месячная выручка ≈ 834 ₸"
4,premium_card,0.0,NO_SIGNAL,Средний баланс: 83 351 ₸ → оценка выгоды ≈ 0 ₸
4,investment_offer,0.0,LOW_BALANCE,Слишком мал баланс для инвестиционных продуктов
4,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
5,fx_offer,39733.24,FX_ACTIVITY,FX/переводы: 7 946 647 ₸ → потенциальная экономия на комиссиях ≈ 39 733 ₸
5,credit_offer,27036.71,LARGE_PAYMENTS,"Оборот: 2 703 671 ₸, средний чек: 9 012 ₸ → ожидаемая выгода от кредитного продукта ≈ 27 037 ₸"
5,supermarket_card,21287.95,HIGH_SUPERMARKET,Траты на продукты: 709 598 ₸ → выгода ≈ 21 288 ₸
5,travel_card,20000.0,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 640 950 ₸. Оценимый кешбэк ≈ 20 000 ₸
5,deposit,13365.36,DEPOSIT_OPPORTUNITY,"Если положить 1 336 536 ₸ на депозит (12% годовых), месячная выручка ≈ 13 365 ₸"
5,taxi_card,8560.44,HIGH_TAXI,По такси: 285 348 ₸ → выгода ≈ 8 560 ₸
5,restaurants_card,8479.22,HIGH_RESTAURANTS,Траты в ресторанах: 423 961 ₸ → выгода ≈ 8 479 ₸
5,investment_offer,3341.34,INVEST_OPPORTUNITY,Средний баланс: 1 336 536 ₸ → месячная оценочная доходность инвестиций ≈ 3 341 ₸
5,premium_card,3336.54,HIGH_BALANCE,Средний баланс: 1 336 536 ₸ → оценка выгоды ≈ 3 337 ₸
5,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
6,fx_offer,41306.05,FX_ACTIVITY,FX/переводы: 8 261 211 ₸ → потенциальная экономия на комиссиях ≈ 41 306 ₸
6,credit_offer,26702.57,LARGE_PAYMENTS,"Оборот: 2 670 257 ₸, средний чек: 8 901 ₸ → ожидаемая выгода от кредитного продукта ≈ 26 703 ₸"
6,supermarket_card,24558.97,HIGH_SUPERMARKET,Траты на продукты: 818 632 ₸ → выгода ≈ 24 559 ₸
6,travel_card,20000.0,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 587 515 ₸. Оценимый кешбэк ≈ 20 000 ₸
6,restaurants_card,11248.02,HIGH_RESTAURANTS,Траты в ресторанах: 562 401 ₸ → выгода ≈ 11 248 ₸
6,taxi_card,8210.34,HIGH_TAXI,По такси: 273 678 ₸ → выгода ≈ 8 210 ₸
6,deposit,1319.29,DEPOSIT_OPPORTUNITY,"Если положить 131 929 ₸ на депозит (12% годовых), месячная выручка ≈ 1 319 ₸"
6,premium_card,0.0,NO_SIGNAL,Средний баланс: 131 929 ₸ → оценка выгоды ≈ 0 ₸
6,investment_offer,0.0,LOW_BALANCE,Слишком мал баланс для инвестиционных продуктов
6,gold_offer,0.0,NO_SIGNAL,Нет трат на ювелирку
7,fx_offer,51106.55,FX_ACTIVITY,FX/переводы: 10 221 309 ₸ → потенциальная экономия на комиссиях ≈ 51 107 ₸
7,deposit,40409.97,DEPOSIT_OPPORTUNITY,"Если положить 4 040 997 ₸ на депозит (12% годовых), месячная выручка ≈ 40 410 ₸"
7,credit_offer,27018.22,LARGE_PAYMENTS,"Оборот: 2 701 822 ₸, средний чек: 9 006 ₸ → ожидаемая выгода от кредитного продукта ≈ 27 018 ₸"
7,supermarket_card,23012.89,HIGH_SUPERMARKET,Траты на продукты: 767 096 ₸ → выгода ≈ 23 013 ₸
7,investment_offer,10102.49,INVEST_OPPORTUNITY,Средний баланс: 4 040 997 ₸ → месячная оценочная доходность инвестиций ≈ 10 102 ₸
7,travel_card,9404.17,HIGH_TRAVEL_SPEND|TAXI_PRESENT,Траты на поездки: 235 104 ₸. Оценимый кешбэк ≈ 9 404 ₸
